what is te reo maori for ocean?,moana,matau,waka,nga ki,moana
what is the job of the macron (straight lines above vowel letters)?,to lengthen the vowel,to ignore the vowel,to change the tone,to shorten the vowel,to lengthen the vowel
what is the translation for 'hei tiki'?,neck pendant of human form,good luck charm,ear pendant,ring,neck pendant of human form
what is the correct translation for 'telephone'?,waea,kari nama,uruwhenua,ika,waea
how do you say 'Good afternoon' in Maori?,kia ora,ata marie,ka kite,te ahiahi pai,te ahiahi pai
how do you say 'Good evening' in Maori?,kia ora,ahiahi pai,ka kite,kia ora rawa atu,ahiahi pai
what is the correct translation for 'Please'?,koa,aroha mai,maui,kia ora,koa
how do you say 'Thank you' in Maori?,kia ora,matau,aroha mai,ka kite,kia ora
what is the correct translation for 'Thank you very much'?,kia ora rawa atu,kia ora,kaore au I te mohio,kia ora ra,kia ora rawa atu
how do you say 'Sorry' in Maori?,pouri,kia ora,koa,kaore au I te mohio,pouri
how do you say 'Hello' in Maori?,kia ora,kaore au I te mohito,kia ora rawa atu,koa,kia ora
how do you say 'Good-bye' in Maori?,mihi,ka kite,maui,poti,mihi
what is the correct translation for 'right'?,matau,maui,toru,tereina,matau
how do you say 'water' in Maori?,wai,kumete,mirata,pereti,wai
what is the correct translation for 'hospital'?,hohipera,wai,whare,rongoa anini,hohipera
how do you say 'taxi' in Maori?,wakatono,hohipera,waka,moenga,wakatono
what is the correct translation for 'credit card'?,kari nama,kopaki,pukapuka,nupepa,kari nama
what is the correct translation for 'keys'?,nga ki,moenga,tohi,maripi,nga ki
what is the correct translation for 'bicycle'?,paihikara,pereti,waka,moenga,paihikara
how do you say 'car' in Maori?,waka,tereina,poti,maripi,waka
what is the translation for 'train'?,tereina,waka rererangi,waka,poti,tereina
what is the translation for 'ship'?,kaipuke,paihikara,waka rererangi,poti,kaipuke
how do you say 'beach' in Maori?,tatahi,ika,whare,oneone,tatahi
what is the correct translation for 'house'?,whare,hotera,hohipera,ruma kaukau,whare
what is the correct translation for 'hotel'?,hotera,oneone,turu,whare,hotera
what is the correct translation for 'bread'?,taro,paraoa,riwai,ika,taro
what is the correct translation for 'glass'?,karaehe,maka,kora,kumete,karaehe
what is the correct translation for 'fish'?,ika,kanga,paramu,aniana,ika
what is the correct translation for 'sweet corn'?,kanga,nga aporo,nga rahipere,nga ropere,kanga
what is the correct translation for 'mango'?,mango,panana,nga ropere,nga rehipere,mango
